site,veg_type,exp,location,plot_Id,unique_plotID,DNA_sample.id,unique_sampID,treatment,myc_assoc,isolate,mel_status,incub_period.days,incub_period.wks,incub_period.years,Notes
cedar creek,Oak Savanna,CC_savanna,transect_20m,Oak_3,17,184,CCSav_385,AM_grass,AM,Mel_Black,melanized ,14,2,0.038356164,
cedar creek,Oak Savanna,CC_savanna,transect_-10m,Oak_1,15,185,CCSav_309,EM_tree,EM,Mel_White,non-melanized,14,2,0.038356164,
cedar creek,Oak Savanna,CC_savanna,transect_5m,Oak_1,15,186,CCSav_308,forest_grassland,mixed,Mel_White,non-melanized,14,2,0.038356164,
cedar creek,Oak Savanna,CC_savanna,transect_20m,Oak_1,15,187,CCSav_310,AM_grass,AM,Mel_White,non-melanized,14,2,0.038356164,
cedar creek,Oak Savanna,CC_savanna,transect_-10m,Oak_2,16,188,CCSav_344,EM_tree,EM,Mel_White,non-melanized,14,2,0.038356164,
cedar creek,Oak Savanna,CC_savanna,transect_5m,Oak_2,16,189,CCSav_346,forest_grassland,mixed,Mel_White,non-melanized,14,2,0.038356164,
cedar creek,Oak Savanna,CC_savanna,transect_20m,Oak_2,16,190,CCSav_337,AM_grass,AM,Mel_White,non-melanized,14,2,0.038356164,
cedar creek,Oak Savanna,CC_savanna,transect_-10m,Oak_3,17,191,CCSav_375,EM_tree,EM,Mel_White,non-melanized,14,2,0.038356164,
cedar creek,Oak Savanna,CC_savanna,transect_5m,Oak_3,17,192,CCSav_377,forest_grassland,mixed,Mel_White,non-melanized,14,2,0.038356164,
cedar creek,Oak Savanna,CC_savanna,transect_20m,Oak_3,17,193,CCSav_372,AM_grass,AM,Mel_White,non-melanized,14,2,0.038356164,
cedar creek,Oak Savanna,CC_savanna,transect_-10m,Oak_1,15,194,CCSav_307,EM_tree,EM,Mort,non-melanized,14,2,0.038356164,
cedar creek,Oak Savanna,CC_savanna,transect_5m,Oak_1,15,195,CCSav_299,forest_grassland,mixed,Mort,non-melanized,14,2,0.038356164,
cedar creek,Oak Savanna,CC_savanna,transect_20m,Oak_1,15,196,CCSav_301,AM_grass,AM,Mort,non-melanized,14,2,0.038356164,
cedar creek,Oak Savanna,CC_savanna,transect_-10m,Oak_2,16,197,CCSav_343,EM_tree,EM,Mort,non-melanized,14,2,0.038356164,
cedar creek,Oak Savanna,CC_savanna,transect_5m,Oak_2,16,198,CCSav_340,forest_grassland,mixed,Mort,non-melanized,14,2,0.038356164,
cedar creek,Oak Savanna,CC_savanna,transect_20m,Oak_2,16,199,CCSav_336,AM_grass,AM,Mort,non-melanized,14,2,0.038356164,
cedar creek,Oak Savanna,CC_savanna,transect_-10m,Oak_3,17,200,CCSav_374,EM_tree,EM,Mort,non-melanized,14,2,0.038356164,
cedar creek,Oak Savanna,CC_savanna,transect_5m,Oak_3,17,201,CCSav_358,forest_grassland,mixed,Mort,non-melanized,14,2,0.038356164,
cedar creek,Oak Savanna,CC_savanna,transect_20m,Oak_3,17,202,CCSav_369,AM_grass,AM,Mort,non-melanized,14,2,0.038356164,
cedar creek,Oak Savanna,CC_savanna,transect_-10m,Oak_1,15,203,CCSav_294,EM_tree,EM,Mort,non-melanized,28,4,0.076712329,
cedar creek,Oak Savanna,CC_savanna,transect_5m,Oak_1,15,204,CCSav_296,forest_grassland,mixed,Mort,non-melanized,28,4,0.076712329,
cedar creek,Oak Savanna,CC_savanna,transect_20m,Oak_1,15,205,CCSav_304,AM_grass,AM,Mort,non-melanized,28,4,0.076712329,
cedar creek,Oak Savanna,CC_savanna,transect_-10m,Oak_2,16,206,CCSav_331,EM_tree,EM,Mort,non-melanized,28,4,0.076712329,
cedar creek,Oak Savanna,CC_savanna,transect_5m,Oak_2,16,207,CCSav_335,forest_grassland,mixed,Mort,non-melanized,28,4,0.076712329,
cedar creek,Oak Savanna,CC_savanna,transect_20m,Oak_2,16,208,CCSav_324,AM_grass,AM,Mort,non-melanized,28,4,0.076712329,
cedar creek,Oak Savanna,CC_savanna,transect_-10m,Oak_3,17,209,CCSav_353,EM_tree,EM,Mort,non-melanized,28,4,0.076712329,
cedar creek,Oak Savanna,CC_savanna,transect_5m,Oak_3,17,210,CCSav_362,forest_grassland,mixed,Mort,non-melanized,28,4,0.076712329,
cedar creek,Oak Savanna,CC_savanna,transect_20m,Oak_3,17,211,CCSav_366,AM_grass,AM,Mort,non-melanized,28,4,0.076712329,
cedar creek,Oak Savanna,CC_savanna,transect_-10m,Oak_1,15,212,CCSav_291,EM_tree,EM,Mel_White,non-melanized,28,4,0.076712329,
cedar creek,Oak Savanna,CC_savanna,transect_5m,Oak_1,15,213,CCSav_295,forest_grassland,mixed,Mel_White,non-melanized,28,4,0.076712329,
cedar creek,Oak Savanna,CC_savanna,transect_20m,Oak_1,15,214,CCSav_298,AM_grass,AM,Mel_White,non-melanized,28,4,0.076712329,
cedar creek,Oak Savanna,CC_savanna,transect_-10m,Oak_2,16,215,CCSav_338,EM_tree,EM,Mel_White,non-melanized,28,4,0.076712329,
cedar creek,Oak Savanna,CC_savanna,transect_5m,Oak_2,16,216,CCSav_329,forest_grassland,mixed,Mel_White,non-melanized,28,4,0.076712329,
cedar creek,Oak Savanna,CC_savanna,transect_20m,Oak_2,16,217,CCSav_316,AM_grass,AM,Mel_White,non-melanized,28,4,0.076712329,
cedar creek,Oak Savanna,CC_savanna,transect_-10m,Oak_3,17,218,CCSav_370,EM_tree,EM,Mel_White,non-melanized,28,4,0.076712329,
cedar creek,Oak Savanna,CC_savanna,transect_5m,Oak_3,17,219,CCSav_371,forest_grassland,mixed,Mel_White,non-melanized,28,4,0.076712329,
cedar creek,Oak Savanna,CC_savanna,transect_20m,Oak_3,17,220,CCSav_367,AM_grass,AM,Mel_White,non-melanized,28,4,0.076712329,
cedar creek,Oak Savanna,CC_savanna,transect_-10m,Oak_1,15,221,CCSav_297,EM_tree,EM,Mel_Black,melanized ,28,4,0.076712329,
cedar creek,Oak Savanna,CC_savanna,transect_5m,Oak_1,15,222,CCSav_302,forest_grassland,mixed,Mel_Black,melanized ,28,4,0.076712329,
cedar creek,Oak Savanna,CC_savanna,transect_20m,Oak_1,15,223,CCSav_305,AM_grass,AM,Mel_Black,melanized ,28,4,0.076712329,
cedar creek,Oak Savanna,CC_savanna,transect_-10m,Oak_2,16,224,CCSav_339,EM_tree,EM,Mel_Black,melanized ,28,4,0.076712329,
cedar creek,Oak Savanna,CC_savanna,transect_5m,Oak_2,16,225,CCSav_333,forest_grassland,mixed,Mel_Black,melanized ,28,4,0.076712329,
cedar creek,Oak Savanna,CC_savanna,transect_20m,Oak_2,16,226,CCSav_342,AM_grass,AM,Mel_Black,melanized ,28,4,0.076712329,
cedar creek,Oak Savanna,CC_savanna,transect_-10m,Oak_3,17,227,CCSav_382,EM_tree,EM,Mel_Black,melanized ,28,4,0.076712329,
cedar creek,Oak Savanna,CC_savanna,transect_5m,Oak_3,17,228,CCSav_380,forest_grassland,mixed,Mel_Black,melanized ,28,4,0.076712329,
cedar creek,Oak Savanna,CC_savanna,transect_20m,Oak_3,17,229,CCSav_378,AM_grass,AM,Mel_Black,melanized ,28,4,0.076712329,
cedar creek,Oak Savanna,CC_savanna,transect_-10m,Oak_1,15,230,CCSav_293,EM_tree,EM,Mort,non-melanized,42,6,0.115068493,
cedar creek,Oak Savanna,CC_savanna,transect_5m,Oak_1,15,231,CCSav_283,forest_grassland,mixed,Mort,non-melanized,42,6,0.115068493,
cedar creek,Oak Savanna,CC_savanna,transect_20m,Oak_1,15,232,CCSav_286,AM_grass,AM,Mort,non-melanized,42,6,0.115068493,
cedar creek,Oak Savanna,CC_savanna,transect_-10m,Oak_2,16,233,CCSav_319,EM_tree,EM,Mort,non-melanized,42,6,0.115068493,
cedar creek,Oak Savanna,CC_savanna,transect_5m,Oak_2,16,234,CCSav_345,forest_grassland,mixed,Mort,non-melanized,42,6,0.115068493,
cedar creek,Oak Savanna,CC_savanna,transect_20m,Oak_2,16,235,CCSav_330,AM_grass,AM,Mort,non-melanized,42,6,0.115068493,
cedar creek,Oak Savanna,CC_savanna,transect_-10m,Oak_3,17,236,CCSav_356,EM_tree,EM,Mort,non-melanized,42,6,0.115068493,
cedar creek,Oak Savanna,CC_savanna,transect_5m,Oak_3,17,237,CCSav_361,forest_grassland,mixed,Mort,non-melanized,42,6,0.115068493,
cedar creek,Oak Savanna,CC_savanna,transect_20m,Oak_3,17,238,CCSav_357,AM_grass,AM,Mort,non-melanized,42,6,0.115068493,
cedar creek,Oak Savanna,CC_savanna,transect_-10m,Oak_1,15,239,CCSav_292,EM_tree,EM,Mel_White,non-melanized,42,6,0.115068493,
cedar creek,Oak Savanna,CC_savanna,transect_5m,Oak_1,15,240,CCSav_290,forest_grassland,mixed,Mel_White,non-melanized,42,6,0.115068493,
cedar creek,Oak Savanna,CC_savanna,transect_20m,Oak_1,15,241,CCSav_311,AM_grass,AM,Mel_White,non-melanized,42,6,0.115068493,
cedar creek,Oak Savanna,CC_savanna,transect_-10m,Oak_2,16,242,CCSav_328,EM_tree,EM,Mel_White,non-melanized,42,6,0.115068493,
cedar creek,Oak Savanna,CC_savanna,transect_5m,Oak_2,16,243,CCSav_334,forest_grassland,mixed,Mel_White,non-melanized,42,6,0.115068493,
cedar creek,Oak Savanna,CC_savanna,transect_20m,Oak_2,16,244,CCSav_314,AM_grass,AM,Mel_White,non-melanized,42,6,0.115068493,
