site,veg_type,exp,location,soil_moisture,pH,plot_Id,unique_plotID,unique_sampID,treatment,myc_assoc,isolate,isolate_myc,mel_status,harvest_date,mass_remaining ,mt.mo,incub_period.days,incub_period.wks,relative_period.months,incub_period.years,notes
cedar creek,Prairie,CC_praire2,field_0,12.56666667,4.812,6,37, CCP2_256,EM_forb,EM,Mel_Black,EM_MB,melanized ,8/29/17,61.8852459,0.618852459,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_5,13.26666667,4.606,6,38, CCP2_266,EM_forb,EM,Mel_Black,EM_MB,melanized ,8/29/17,NA,NA,11,1.571428571,0.366666667,0.030136986,not recovered
cedar creek,Prairie,CC_praire2,field_80,7.133333333,4.737,6,39, CCP2_273,EM_forb,EM,Mel_Black,EM_MB,melanized ,8/29/17,NA,NA,11,1.571428571,0.366666667,0.030136986,not recovered
cedar creek,Prairie,CC_praire2,field_80,16.8,4.5215,1,24, CCP2_68,AM_grass,AM,Mort,AM_Mort,non-melanized,8/29/17,30.26819923,0.302681992,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_0,16.73333333,4.925,1,22, CCP2_72,AM_grass,AM,Mort,AM_Mort,non-melanized,8/29/17,39.35742972,0.393574297,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_5,17.16666667,4.8075,1,23, CCP2_74,AM_grass,AM,Mort,AM_Mort,non-melanized,8/29/17,44.70588235,0.447058824,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_80,13.7,4.6285,2,27, CCP2_108,AM_grass,AM,Mort,AM_Mort,non-melanized,8/29/17,42.85714286,0.428571429,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_5,15.93333333,4.697,2,26, CCP2_109,AM_grass,AM,Mort,AM_Mort,non-melanized,8/29/17,43.62934363,0.436293436,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_0,13.2,4.843,2,25, CCP2_110,AM_grass,AM,Mort,AM_Mort,non-melanized,8/29/17,46.18473896,0.46184739,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_0,12.8,4.7905,3,28, CCP2_145,AM_grass,AM,Mort,AM_Mort,non-melanized,8/29/17,39.54372624,0.395437262,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_5,13.2,4.9675,3,29, CCP2_148,AM_grass,AM,Mort,AM_Mort,non-melanized,8/29/17,43.41085271,0.434108527,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_80,10.23333333,4.971,3,30, CCP2_168,AM_grass,AM,Mort,AM_Mort,non-melanized,8/29/17,NA,NA,11,1.571428571,0.366666667,0.030136986,not recovered
cedar creek,Prairie,CC_praire2,field_0,12.13333333,4.6605,4,31, CCP2_179,AM_grass,AM,Mort,AM_Mort,non-melanized,8/29/17,40.16064257,0.401606426,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_80,11.23333333,4.815,4,33, CCP2_182,AM_grass,AM,Mort,AM_Mort,non-melanized,8/29/17,50,0.5,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_5,NA,4.529,4,32, CCP2_197,AM_grass,AM,Mort,AM_Mort,non-melanized,8/29/17,NA,NA,11,1.571428571,0.366666667,0.030136986,not recovered
cedar creek,Prairie,CC_praire2,field_0,14.83333333,5.102,5,34, CCP2_220,AM_grass,AM,Mort,AM_Mort,non-melanized,8/29/17,40.15444015,0.401544402,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_5,NA,4.5195,5,35, CCP2_234,AM_grass,AM,Mort,AM_Mort,non-melanized,8/29/17,NA,NA,11,1.571428571,0.366666667,0.030136986,not recovered
cedar creek,Prairie,CC_praire2,field_80,12.43333333,5.0665,5,36, CCP2_240,AM_grass,AM,Mort,AM_Mort,non-melanized,8/29/17,NA,NA,11,1.571428571,0.366666667,0.030136986,not recovered
cedar creek,Prairie,CC_praire2,field_0,12.36666667,5.0165,6,37, CCP2_251,AM_grass,AM,Mort,AM_Mort,non-melanized,8/29/17,38.73517787,0.387351779,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_5,16.23333333,4.7215,6,38, CCP2_267,AM_grass,AM,Mort,AM_Mort,non-melanized,8/29/17,NA,NA,11,1.571428571,0.366666667,0.030136986,not recovered
cedar creek,Prairie,CC_praire2,field_80,12.3,4.9555,6,39, CCP2_275,AM_grass,AM,Mort,AM_Mort,non-melanized,8/29/17,NA,NA,11,1.571428571,0.366666667,0.030136986,not recovered
cedar creek,Prairie,CC_praire2,field_80,16.63333333,4.376,1,24, CCP2_70,EM_forb,EM,Mort,EM_Mort,non-melanized,8/29/17,37.20930233,0.372093023,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_0,16.53333333,4.9025,1,22, CCP2_73,EM_forb,EM,Mort,EM_Mort,non-melanized,8/29/17,43.79844961,0.437984496,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_5,14.73333333,4.6835,1,23, CCP2_75,EM_forb,EM,Mort,EM_Mort,non-melanized,8/29/17,45.88235294,0.458823529,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_5,12.9,4.724,2,26, CCP2_104,EM_forb,EM,Mort,EM_Mort,non-melanized,8/29/17,31.2,0.312,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_80,13.66666667,4.9545,2,27, CCP2_105,EM_forb,EM,Mort,EM_Mort,non-melanized,8/29/17,40.234375,0.40234375,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_0,12.93333333,4.903,2,25, CCP2_113,EM_forb,EM,Mort,EM_Mort,non-melanized,8/29/17,50.57034221,0.505703422,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_5,12.9,5.6155,3,29, CCP2_146,EM_forb,EM,Mort,EM_Mort,non-melanized,8/29/17,40.85603113,0.408560311,11,1.571428571,0.366666667,0.030136986,
cedar creek,Prairie,CC_praire2,field_0,12.8,4.8985,3,28, CCP2_149,EM_forb,EM,Mort,EM_Mort,non-melanized,8/29/17,44.88188976,0.448818898,11,1.571428571,0.366666667,0.030136986,
