"","site","veg_type","exp","location","soil_moisture","pH","plot_Id_pair","unique_plotID","unique_sampID","treatment","myc_assoc","isolate","mel_status","harvest_date","incub_period.days","incub_period.wks","incub_period.months","incub_period.years","mass_remaining","mt.mo","notes","logmt.mo","lmt.mo"
"35","cedar creek","Prairie","CC_praire2","field_5",13.2,4.9675,"field5_3","29"," CCP2_148","AM_grass","AM","Mort","non-melanized","8/29/17","11","1.571428571","0.366666667","0.030136986",43.41085271,0.434108527,"",0.360543420624761,-0.261038142182051
"36","cedar creek","Prairie","CC_praire2","field_5",NA,NA,"field5_4","32"," CCP2_178","AM_grass","AM","Mel_Black","melanized ","9/21/17","34","4.857142857","1.133333333","0.093150685",33.84615385,0.338461538,"",0.291520848414119,-0.665694703461287
"37","cedar creek","Prairie","CC_praire2","field_5",NA,NA,"field5_4","32"," CCP2_181","EM_forb","EM","Mel_Black","melanized ","9/21/17","34","4.857142857","1.133333333","0.093150685",44.921875,0.44921875,"",0.371024618127873,-0.199786896077573
"38","cedar creek","Prairie","CC_praire2","field_5",NA,NA,"field5_4","32"," CCP2_173","AM_grass","AM","Mort","non-melanized","9/21/17","34","4.857142857","1.133333333","0.093150685",23.4375,0.234375,"",0.21056476910735,-1.17820553058541
"39","cedar creek","Prairie","CC_praire2","field_5",NA,NA,"field5_4","32"," CCP2_177","EM_forb","EM","Mort","non-melanized","9/21/17","34","4.857142857","1.133333333","0.093150685",31.49606299,0.31496063,"",0.273806726018044,-0.772397857228145
"40","cedar creek","Prairie","CC_praire2","field_5",NA,NA,"field5_5","35"," CCP2_212","AM_grass","AM","Mel_Black","melanized ","9/21/17","34","4.857142857","1.133333333","0.093150685",24.80620155,0.248062016,"",0.221591961020306,-1.10362114476294
"41","cedar creek","Prairie","CC_praire2","field_5",NA,NA,"field5_5","35"," CCP2_216","EM_forb","EM","Mel_Black","melanized ","9/21/17","34","4.857142857","1.133333333","0.093150685",30.5019305,0.305019305,"",0.266217833768688,-0.818795954919327
"42","cedar creek","Prairie","CC_praire2","field_5",NA,NA,"field5_5","35"," CCP2_211","EM_forb","EM","Mort","non-melanized","9/21/17","34","4.857142857","1.133333333","0.093150685",23.46153846,0.234615385,"",0.210759492426015,-1.17687033426303
"43","cedar creek","Prairie","CC_praire2","field_5",NA,NA,"field5_5","35"," CCP2_218","AM_grass","AM","Mort","non-melanized","9/21/17","34","4.857142857","1.133333333","0.093150685",32.93172691,0.329317269,"",0.284665478854954,-0.706750450607338
"44","cedar creek","Prairie","CC_praire2","field_5",NA,NA,"field5_6","38"," CCP2_250","AM_grass","AM","Mel_Black","melanized ","9/21/17","34","4.857142857","1.133333333","0.093150685",34.765625,0.34765625,"",0.298366972551797,-0.624951056848491
"45","cedar creek","Prairie","CC_praire2","field_5",NA,NA,"field5_6","38"," CCP2_253","EM_forb","EM","Mel_Black","melanized ","9/21/17","34","4.857142857","1.133333333","0.093150685",43.51145038,0.435114504,"",0.361244639756457,-0.256946376887216
"46","cedar creek","Prairie","CC_praire2","field_5",NA,NA,"field5_6","38"," CCP2_246","AM_grass","AM","Mort","non-melanized","9/21/17","34","4.857142857","1.133333333","0.093150685",20.54263566,0.205426357,"",0.186833327598453,-1.34660261937553
"47","cedar creek","Prairie","CC_praire2","field_5",NA,NA,"field5_6","38"," CCP2_248","EM_forb","EM","Mort","non-melanized","9/21/17","34","4.857142857","1.133333333","0.093150685",29.08366534,0.290836653,"",0.255290576361163,-0.886480544977285
"48","cedar creek","Prairie","CC_praire2","field_80",16.63333333,4.376,"field80_1","24"," CCP2_76","EM_forb","EM","Mel_Black","melanized ","8/29/17","11","1.571428571","0.366666667","0.030136986",46.692607,0.46692607,"",0.383169102526266,-0.128472132498566
"49","cedar creek","Prairie","CC_praire2","field_80",16.8,4.5215,"field80_1","24"," CCP2_79","AM_grass","AM","Mel_Black","melanized ","8/29/17","11","1.571428571","0.366666667","0.030136986",54.50980392,0.545098039,"",0.435087363999914,0.184917288446283
"50","cedar creek","Prairie","CC_praire2","field_80",16.8,4.5215,"field80_1","24"," CCP2_68","AM_grass","AM","Mort","non-melanized","8/29/17","11","1.571428571","0.366666667","0.030136986",30.26819923,0.302681992,"",0.26442521002869,-0.829825389093297
"51","cedar creek","Prairie","CC_praire2","field_80",16.63333333,4.376,"field80_1","24"," CCP2_70","EM_forb","EM","Mort","non-melanized","8/29/17","11","1.571428571","0.366666667","0.030136986",37.20930233,0.372093023,"",0.316337328025716,-0.518970387612861
"52","cedar creek","Prairie","CC_praire2","field_80",13.7,4.6285,"field80_2","27"," CCP2_112","AM_grass","AM","Mel_Black","melanized ","8/29/17","11","1.571428571","0.366666667","0.030136986",50.19455253,0.501945525,"",0.406761284375311,0.0117822363000171
"53","cedar creek","Prairie","CC_praire2","field_80",13.66666667,4.9545,"field80_2","27"," CCP2_114","EM_forb","EM","Mel_Black","melanized ","8/29/17","11","1.571428571","0.366666667","0.030136986",55.42635659,0.554263566,"",0.441001842454777,0.221961071162583
"54","cedar creek","Prairie","CC_praire2","field_80",13.66666667,4.9545,"field80_2","27"," CCP2_105","EM_forb","EM","Mort","non-melanized","8/29/17","11","1.571428571","0.366666667","0.030136986",40.234375,0.40234375,"",0.338144944008716,-0.391551975878277
"55","cedar creek","Prairie","CC_praire2","field_80",13.7,4.6285,"field80_2","27"," CCP2_108","AM_grass","AM","Mort","non-melanized","8/29/17","11","1.571428571","0.366666667","0.030136986",42.85714286,0.428571429,"",0.356674944238732,-0.283599922325705
"56","cedar creek","Prairie","CC_praire2","field_80",NA,NA,"field80_3","30"," CCP2_137","AM_grass","AM","Mel_Black","melanized ","9/21/17","34","4.857142857","1.133333333","0.093150685",25.20325203,0.25203252,"",0.224768246781471,-1.08250363203195
"57","cedar creek","Prairie","CC_praire2","field_80",NA,NA,"field80_3","30"," CCP2_141","EM_forb","EM","Mel_Black","melanized ","9/21/17","34","4.857142857","1.133333333","0.093150685",30.76923077,0.307692308,"",0.268263986829973,-0.806239995949609
"58","cedar creek","Prairie","CC_praire2","field_80",NA,NA,"field80_3","30"," CCP2_138","EM_forb","EM","Mort","non-melanized","9/21/17","34","4.857142857","1.133333333","0.093150685",25.698413,0.25698413,"",0.228715304230081,-1.05647255967703
"59","cedar creek","Prairie","CC_praire2","field_80",NA,NA,"field80_3","30"," CCP2_139","AM_grass","AM","Mort","non-melanized","9/21/17","34","4.857142857","1.133333333","0.093150685",25.86872587,0.258687259,"",0.230069319915636,-1.04759466288042
"60","cedar creek","Prairie","CC_praire2","field_80",9.833333333,4.86,"field80_4","33"," CCP2_186","EM_forb","EM","Mel_Black","melanized ","8/29/17","11","1.571428571","0.366666667","0.030136986",63.2,0.632,"",0.489806256541915,0.545108574089606
"61","cedar creek","Prairie","CC_praire2","field_80",9.833333333,4.86,"field80_4","33"," CCP2_180","EM_forb","EM","Mort","non-melanized","8/29/17","11","1.571428571","0.366666667","0.030136986",41.37931034,0.413793103,"",0.346276236400761,-0.344185605863927
"62","cedar creek","Prairie","CC_praire2","field_80",11.23333333,4.815,"field80_4","33"," CCP2_182","AM_grass","AM","Mort","non-melanized","8/29/17","11","1.571428571","0.366666667","0.030136986",50,0.5,"",0.405465108108164,0.00400000533334614
"63","cedar creek","Prairie","CC_praire2","field_80",NA,NA,"field80_5","36"," CCP2_213","EM_forb","EM","Mel_Black","melanized ","9/21/17","34","4.857142857","1.133333333","0.093150685",25.57251908,0.255725191,"",0.227713247131935,-1.06305962332867
"64","cedar creek","Prairie","CC_praire2","field_80",NA,NA,"field80_5","36"," CCP2_221","AM_grass","AM","Mel_Black","melanized ","9/21/17","34","4.857142857","1.133333333","0.093150685",42.08494208,0.420849421,"",0.351254876575371,-0.315185923959762
"65","cedar creek","Prairie","CC_praire2","field_80",NA,NA,"field80_5","36"," CCP2_214","EM_forb","EM","Mort","non-melanized","9/21/17","34","4.857142857","1.133333333","0.093150685",26.953125,0.26953125,"",0.238647737850175,-0.991928911069266
"66","cedar creek","Prairie","CC_praire2","field_80",NA,NA,"field80_5","36"," CCP2_217","AM_grass","AM","Mort","non-melanized","9/21/17","34","4.857142857","1.133333333","0.093150685",31.27413127,0.312741313,"",0.272117556107728,-0.782685848982434
"67","cedar creek","Prairie","CC_praire2","field_80",NA,NA,"field80_6","39"," CCP2_252","AM_grass","AM","Mel_Black","melanized ","9/21/17","34","4.857142857","1.133333333","0.093150685",41.12903226,0.411290323,"",0.34450440861562,-0.354505310703295
"68","cedar creek","Prairie","CC_praire2","field_80",NA,NA,"field80_6","39"," CCP2_247","AM_grass","AM","Mort","non-melanized","9/21/17","34","4.857142857","1.133333333","0.093150685",24.61538462,0.246153846,"",0.220061884653345,-1.11384989513678
