location,site,exp,location,soil_moisture,pH,plot_Id_pair,unique_plotID,unique_sampID,treatment,myc_assoc,isolate,mel_status,harvest_date,incub_period.days,incub_period.wks,incub_period.months,incub_period.years,mass_remaining ,mt.mo,notes
moores creek,Temperate Forest,MC_forest,EM_1,2.833333333,3.45,pair_3,1,MCFor_387,EM_tree,EM,Mort,non-melanized,8/14/17,31,4.428571429,1.033333333,0.116981132,17.85387583,0.178538758,
moores creek,Temperate Forest,MC_forest,EM_1,3.733333333,3.51,pair_3,1,MCFor_388,EM_tree,EM,Mel_Black,melanized ,10/13/17,92,13.14285714,3.066666667,0.347169811,28.13099042,0.281309904,
moores creek,Temperate Forest,MC_forest,EM_1,3.733333333,3.51,pair_3,1,MCFor_386,EM_tree,EM,Mort,non-melanized,10/13/17,92,13.14285714,3.066666667,0.347169811,7.428048246,0.074280482,
moores creek,Temperate Forest,MC_forest,EM_2,6.006227826,NA,pair_2,3,MCFor_403,EM_tree,EM,Mel_Black,melanized ,7/27/17,14,2,0.466666667,0.052830189,48.50553071,0.485055307,
moores creek,Temperate Forest,MC_forest,EM_2,6.006227826,NA,pair_2,3,MCFor_399,EM_tree,EM,Mort,non-melanized,7/27/17,14,2,0.466666667,0.052830189,28.17127769,0.281712777,
moores creek,Temperate Forest,MC_forest,EM_2,1.833333333,3.4,pair_2,3,MCFor_400,EM_tree,EM,Mel_Black,melanized ,8/14/17,31,4.428571429,1.033333333,0.116981132,32.38781862,0.323878186,
moores creek,Temperate Forest,MC_forest,EM_2,1.833333333,3.4,pair_2,3,MCFor_393,EM_tree,EM,Mort,non-melanized,8/14/17,31,4.428571429,1.033333333,0.116981132,18.13816605,0.18138166,
moores creek,Temperate Forest,MC_forest,EM_2,5.133333333,3.5,pair_2,3,MCFor_397,EM_tree,EM,Mel_Black,melanized ,10/13/17,92,13.14285714,3.066666667,0.347169811,20.81395781,0.208139578,
moores creek,Temperate Forest,MC_forest,EM_2,5.133333333,3.5,pair_2,3,MCFor_392,EM_tree,EM,Mort,non-melanized,10/13/17,92,13.14285714,3.066666667,0.347169811,13.87831222,0.138783122,
moores creek,Temperate Forest,MC_forest,EM_4,7.994160577,NA,pair_4,6,MCFor_420,EM_tree,EM,Mel_Black,melanized ,7/27/17,14,2,0.466666667,0.052830189,58.50310875,0.585031087,
moores creek,Temperate Forest,MC_forest,EM_4,7.994160577,NA,pair_4,6,MCFor_415,EM_tree,EM,Mort,non-melanized,7/27/17,14,2,0.466666667,0.052830189,25.18291713,0.251829171,
moores creek,Temperate Forest,MC_forest,EM_4,2.833333333,3.48,pair_4,6,MCFor_419,EM_tree,EM,Mel_Black,melanized ,8/14/17,31,4.428571429,1.033333333,0.116981132,35.63343576,0.356334358,
moores creek,Temperate Forest,MC_forest,EM_4,2.833333333,3.48,pair_4,6,MCFor_414,EM_tree,EM,Mort,non-melanized,8/14/17,31,4.428571429,1.033333333,0.116981132,24.85767746,0.248576775,
moores creek,Temperate Forest,MC_forest,EM_4,6.8,3.31,pair_4,6,MCFor_417,EM_tree,EM,Mel_Black,melanized ,10/13/17,92,13.14285714,3.066666667,0.347169811,29.60932945,0.296093294,
moores creek,Temperate Forest,MC_forest,EM_4,6.8,3.31,pair_4,6,MCFor_412,EM_tree,EM,Mort,non-melanized,10/13/17,92,13.14285714,3.066666667,0.347169811,16.6550765,0.166550765,
moores creek,Temperate Forest,MC_forest,EM_5,5.674933699,NA,pair_1,8,MCFor_433,EM_tree,EM,Mel_Black,melanized ,7/27/17,14,2,0.466666667,0.052830189,58.52006657,0.585200666,
moores creek,Temperate Forest,MC_forest,EM_5,5.674933699,NA,pair_1,8,MCFor_428,EM_tree,EM,Mort,non-melanized,7/27/17,14,2,0.466666667,0.052830189,24.22097979,0.242209798,
moores creek,Temperate Forest,MC_forest,EM_5,3,3.55,pair_1,8,MCFor_431,EM_tree,EM,Mel_Black,melanized ,8/14/17,31,4.428571429,1.033333333,0.116981132,40.20968239,0.402096824,
moores creek,Temperate Forest,MC_forest,EM_5,3,3.55,pair_1,8,MCFor_423,EM_tree,EM,Mort,non-melanized,8/14/17,31,4.428571429,1.033333333,0.116981132,17.31989258,0.173198926,
moores creek,Temperate Forest,MC_forest,EM_5,10.1,3.59,pair_1,8,MCFor_424,EM_tree,EM,Mel_Black,melanized ,10/13/17,92,13.14285714,3.066666667,0.347169811,18.0553946,0.180553946,
moores creek,Temperate Forest,MC_forest,EM_5,10.1,3.59,pair_1,8,MCFor_426,EM_tree,EM,Mort,non-melanized,10/13/17,92,13.14285714,3.066666667,0.347169811,21.31378299,0.21313783,
moores creek,Temperate Forest,MC_forest,EM_6,8.811572386,NA,pair_6,10,MCFor_445,EM_tree,EM,Mel_Black,melanized ,7/27/17,14,2,0.466666667,0.052830189,53.51869982,0.535186998,
moores creek,Temperate Forest,MC_forest,EM_6,8.811572386,NA,pair_6,10,MCFor_442,EM_tree,EM,Mort,non-melanized,7/27/17,14,2,0.466666667,0.052830189,25.94448577,0.259444858,
moores creek,Temperate Forest,MC_forest,EM_6,6,3.38,pair_6,10,MCFor_443,EM_tree,EM,Mel_Black,melanized ,8/14/17,31,4.428571429,1.033333333,0.116981132,29.27225597,0.29272256,
moores creek,Temperate Forest,MC_forest,EM_6,6,3.38,pair_6,10,MCFor_437,EM_tree,EM,Mort,non-melanized,8/14/17,31,4.428571429,1.033333333,0.116981132,12.17923411,0.121792341,
